20220330,2022-03-30,2022,3,March,Q1
20220104,2022-01-04,2022,1,January,Q1
20220214,2022-02-14,2022,2,February,Q1
20220202,2022-02-02,2022,2,February,Q1
20220127,2022-01-27,2022,1,January,Q1
20220305,2022-03-05,2022,3,March,Q1
20220225,2022-02-25,2022,2,February,Q1
20220207,2022-02-07,2022,2,February,Q1
20220102,2022-01-02,2022,1,January,Q1
20220219,2022-02-19,2022,2,February,Q1
20220112,2022-01-12,2022,1,January,Q1
20220115,2022-01-15,2022,1,January,Q1
20220307,2022-03-07,2022,3,March,Q1
20220113,2022-01-13,2022,1,January,Q1
20220122,2022-01-22,2022,1,January,Q1
20220107,2022-01-07,2022,1,January,Q1
20220312,2022-03-12,2022,3,March,Q1
20220205,2022-02-05,2022,2,February,Q1
20220301,2022-03-01,2022,3,March,Q1
20220304,2022-03-04,2022,3,March,Q1
20220128,2022-01-28,2022,1,January,Q1
20220317,2022-03-17,2022,3,March,Q1
20220105,2022-01-05,2022,1,January,Q1
20220310,2022-03-10,2022,3,March,Q1
20220315,2022-03-15,2022,3,March,Q1
20220228,2022-02-28,2022,2,February,Q1
20220325,2022-03-25,2022,3,March,Q1
20220320,2022-03-20,2022,3,March,Q1
20220212,2022-02-12,2022,2,February,Q1
20220322,2022-03-22,2022,3,March,Q1
20220319,2022-03-19,2022,3,March,Q1
20220106,2022-01-06,2022,1,January,Q1
20220117,2022-01-17,2022,1,January,Q1
20220222,2022-02-22,2022,2,February,Q1
20220103,2022-01-03,2022,1,January,Q1
20220313,2022-03-13,2022,3,March,Q1
20220114,2022-01-14,2022,1,January,Q1
20220120,2022-01-20,2022,1,January,Q1
20220303,2022-03-03,2022,3,March,Q1
20220206,2022-02-06,2022,2,February,Q1
20220328,2022-03-28,2022,3,March,Q1
20220201,2022-02-01,2022,2,February,Q1
20220226,2022-02-26,2022,2,February,Q1
20220306,2022-03-06,2022,3,March,Q1
20220323,2022-03-23,2022,3,March,Q1
20220318,2022-03-18,2022,3,March,Q1
20220308,2022-03-08,2022,3,March,Q1
20220126,2022-01-26,2022,1,January,Q1
20220203,2022-02-03,2022,2,February,Q1
20220327,2022-03-27,2022,3,March,Q1
20220118,2022-01-18,2022,1,January,Q1
20220209,2022-02-09,2022,2,February,Q1
20220223,2022-02-23,2022,2,February,Q1
20220119,2022-01-19,2022,1,January,Q1
20220124,2022-01-24,2022,1,January,Q1
20220213,2022-02-13,2022,2,February,Q1
20220316,2022-03-16,2022,3,March,Q1
20220309,2022-03-09,2022,3,March,Q1
20220302,2022-03-02,2022,3,March,Q1
20220211,2022-02-11,2022,2,February,Q1
20220227,2022-02-27,2022,2,February,Q1
20220204,2022-02-04,2022,2,February,Q1
20220131,2022-01-31,2022,1,January,Q1
20220331,2022-03-31,2022,3,March,Q1
20220324,2022-03-24,2022,3,March,Q1
20220208,2022-02-08,2022,2,February,Q1
20220109,2022-01-09,2022,1,January,Q1
20220210,2022-02-10,2022,2,February,Q1
20220326,2022-03-26,2022,3,March,Q1
20220217,2022-02-17,2022,2,February,Q1
20220329,2022-03-29,2022,3,March,Q1
20220129,2022-01-29,2022,1,January,Q1
20220311,2022-03-11,2022,3,March,Q1
20220215,2022-02-15,2022,2,February,Q1
20220121,2022-01-21,2022,1,January,Q1
20220321,2022-03-21,2022,3,March,Q1
20220224,2022-02-24,2022,2,February,Q1
20220111,2022-01-11,2022,1,January,Q1
20220108,2022-01-08,2022,1,January,Q1
20220314,2022-03-14,2022,3,March,Q1
20220216,2022-02-16,2022,2,February,Q1
20220101,2022-01-01,2022,1,January,Q1
20220130,2022-01-30,2022,1,January,Q1
